iter	Passed	Remaining
0	152	26451
1	162	14033
2	205	11767
3	214	9173
4	219	7464
5	224	6316
6	228	5478
7	231	4828
8	236	4367
9	241	3981
10	245	3660
11	250	3398
12	254	3170
13	258	2976
14	263	2805
15	268	2670
16	273	2540
17	277	2418
18	279	2298
19	284	2208
20	289	2122
21	293	2040
22	297	1967
23	302	1901
24	306	1839
25	310	1780
26	315	1727
27	319	1677
28	323	1628
29	327	1582
30	332	1543
31	336	1504
32	340	1466
33	345	1431
34	350	1400
35	354	1369
36	358	1337
37	363	1309
38	367	1281
39	371	1253
40	375	1228
41	380	1205
42	385	1182
43	389	1158
44	393	1137
45	397	1115
46	402	1094
47	406	1075
48	410	1056
49	415	1038
50	419	1019
51	423	1001
52	428	986
53	433	970
54	437	954
55	442	939
56	446	925
57	449	906
58	454	892
59	459	880
60	463	866
61	467	852
62	471	838
63	476	826
64	480	812
65	484	799
66	489	788
67	493	777
68	497	764
69	502	754
70	507	743
71	512	733
72	517	722
73	521	712
74	525	701
75	529	690
76	533	679
77	538	670
78	543	660
79	547	650
80	550	639
81	555	630
82	560	621
83	565	612
84	571	604
85	575	595
86	580	587
87	586	579
88	591	571
89	595	562
90	600	554
91	605	546
92	609	537
93	614	529
94	618	521
95	622	512
96	626	504
97	631	496
98	635	488
99	640	480
100	644	471
101	648	464
102	653	456
103	657	448
104	661	441
105	666	433
106	670	426
107	674	418
108	678	410
109	683	403
110	687	396
111	691	389
112	696	382
113	700	374
114	704	367
115	708	360
116	713	353
117	717	346
118	721	339
119	725	332
120	730	325
121	734	319
122	738	312
123	742	305
124	746	298
125	751	292
126	755	285
127	759	278
128	763	272
129	768	265
130	772	259
131	776	252
132	780	246
133	784	240
134	788	233
135	793	227
136	797	221
137	801	214
138	805	208
139	809	202
140	814	196
141	818	190
142	822	184
143	826	177
144	830	171
145	834	165
146	839	159
147	843	153
148	847	147
149	851	141
150	855	136
151	859	130
152	864	124
153	868	118
154	872	112
155	876	106
156	880	100
157	884	95
158	889	89
159	893	83
160	897	78
161	901	72
162	905	66
163	909	61
164	913	55
165	917	49
166	922	44
167	926	38
168	930	33
169	934	27
170	939	21
171	942	16
172	946	10
173	951	5
174	955	0
