iter	Passed	Remaining
0	9	2078
1	18	2049
2	27	2014
3	36	1974
4	46	1979
5	55	1968
6	63	1936
7	73	1938
8	81	1905
9	90	1883
10	98	1868
11	107	1849
12	115	1826
13	123	1803
14	142	1934
15	150	1905
16	169	2016
17	177	1980
18	185	1950
19	193	1920
20	201	1897
21	209	1872
22	217	1851
23	225	1830
24	234	1816
25	254	1888
26	262	1868
27	271	1850
28	279	1829
29	288	1815
30	297	1803
31	306	1789
32	315	1780
33	324	1766
34	333	1755
35	343	1745
36	352	1733
37	361	1722
38	372	1717
39	382	1710
40	391	1698
41	400	1688
42	409	1676
43	419	1667
44	428	1656
45	437	1644
46	447	1637
47	456	1625
48	465	1616
49	475	1606
50	484	1594
51	493	1584
52	502	1574
53	512	1564
54	520	1553
55	530	1543
56	539	1531
57	548	1521
58	557	1512
59	567	1503
60	576	1492
61	586	1484
62	595	1475
63	604	1464
64	613	1454
65	622	1443
66	632	1434
67	641	1425
68	650	1414
69	660	1405
70	669	1396
71	679	1387
72	688	1376
73	697	1367
74	706	1357
75	715	1346
76	725	1338
77	735	1328
78	744	1319
79	753	1309
80	763	1301
81	774	1293
82	784	1285
83	794	1277
84	804	1268
85	814	1259
86	823	1249
87	832	1239
88	842	1230
89	852	1221
90	861	1211
91	869	1200
92	879	1191
93	888	1181
94	897	1171
95	906	1161
96	915	1151
97	925	1142
98	934	1132
99	943	1123
100	953	1114
101	962	1104
102	972	1094
103	981	1084
104	990	1075
105	999	1065
106	1008	1055
107	1017	1045
108	1026	1035
109	1035	1026
110	1044	1016
111	1053	1006
112	1062	996
113	1071	986
114	1081	977
115	1090	968
116	1100	959
117	1109	949
118	1118	940
119	1127	930
120	1136	920
121	1145	910
122	1154	901
123	1163	891
124	1172	881
125	1182	872
126	1191	863
127	1201	854
128	1210	844
129	1220	835
130	1229	825
131	1238	816
132	1248	807
133	1257	797
134	1266	788
135	1277	779
136	1287	770
137	1296	761
138	1305	751
139	1315	742
140	1323	732
141	1333	723
142	1342	713
143	1351	703
144	1378	703
145	1393	696
146	1411	691
147	1429	685
148	1444	678
149	1456	670
150	1468	661
151	1481	652
152	1492	643
153	1505	635
154	1517	626
155	1529	617
156	1540	608
157	1553	599
158	1565	590
159	1576	581
160	1587	571
161	1598	562
162	1609	553
163	1620	543
164	1631	533
165	1641	524
166	1652	514
167	1662	504
168	1672	494
169	1682	485
170	1692	475
171	1701	465
172	1711	455
173	1720	445
174	1730	435
175	1739	424
176	1749	415
177	1758	405
178	1768	395
179	1777	385
180	1786	375
181	1795	364
182	1803	354
183	1812	344
184	1821	334
185	1831	324
186	1841	315
187	1852	305
188	1862	295
189	1872	285
190	1882	276
191	1892	266
192	1903	256
193	1913	246
194	1923	236
195	1934	226
196	1943	217
197	1953	207
198	1963	197
199	1972	187
200	1981	177
201	1991	167
202	2001	157
203	2011	147
204	2020	137
205	2030	128
206	2039	118
207	2048	108
208	2059	98
209	2068	88
210	2078	78
211	2087	68
212	2096	59
213	2106	49
214	2115	39
215	2125	29
216	2135	19
217	2144	9
218	2154	0
