iter	Logloss
0	0.6896765515
1	0.6861415353
2	0.6828867434
3	0.6796914018
4	0.6764695391
5	0.6735277613
6	0.6707059765
7	0.6679748567
8	0.6654128302
9	0.6625930851
10	0.6597498938
11	0.6570627064
12	0.6544516834
13	0.6518665609
14	0.6494140309
15	0.6469830677
16	0.644555586
17	0.6424252901
18	0.640134132
19	0.6378425861
20	0.635647848
21	0.6335453373
22	0.6314267516
23	0.6294461203
24	0.6274879706
25	0.6255465278
26	0.623722316
27	0.6219907757
28	0.6202718402
29	0.6185628802
30	0.6170950686
31	0.6150638764
32	0.6134752392
33	0.61196275
34	0.6104160049
35	0.6088239304
36	0.6073616191
37	0.6058615553
38	0.6045191815
39	0.6031108389
40	0.6017848795
41	0.6006306519
42	0.5993113089
43	0.5979681583
44	0.5967068915
45	0.5953859416
46	0.594313708
47	0.5928924505
48	0.5918142597
49	0.5908766293
50	0.5899915753
51	0.5888688963
52	0.5878215745
53	0.5867796368
54	0.5857789905
55	0.5847538311
56	0.5837760798
57	0.5828249289
58	0.5818381398
59	0.5808503408
60	0.579934887
61	0.5790669113
62	0.5782802431
63	0.5775705755
64	0.5767320109
65	0.575859193
66	0.5751782567
67	0.574430727
68	0.5736795753
69	0.5728275259
70	0.5720792161
71	0.5713610128
72	0.5705669041
73	0.5698898417
74	0.5690810357
75	0.5683272954
76	0.567671151
77	0.5670106772
78	0.5662202049
79	0.5656311728
80	0.5650574596
81	0.564401776
82	0.5634240567
83	0.5628101944
84	0.5621581707
85	0.561541429
86	0.5609940833
87	0.5604923202
88	0.5599916172
89	0.5595268462
90	0.5588188864
91	0.5583860973
92	0.5578219441
93	0.5572702418
94	0.5566937776
95	0.5561153281
96	0.5556838893
97	0.555144267
98	0.5547600156
99	0.554253263
100	0.5538326317
101	0.5534408403
102	0.552820975
103	0.5523051743
104	0.5518756097
105	0.5515309504
106	0.5510751464
107	0.5504746667
108	0.550100289
109	0.5495515534
110	0.5492205842
111	0.548922027
112	0.5485364755
113	0.5481374103
114	0.5477728899
115	0.5472362069
116	0.5469075703
117	0.546511408
118	0.546117244
119	0.5457577351
120	0.5451983206
121	0.5449352583
122	0.5446649559
123	0.5443823977
124	0.5441125017
125	0.5437475639
126	0.543368903
127	0.5429472721
128	0.542658981
129	0.5423023939
130	0.5419706559
131	0.5416841472
132	0.5413524662
133	0.5410591507
134	0.5408470103
135	0.5405897484
136	0.5402715258
137	0.5400876785
138	0.5398424684
139	0.5396237792
140	0.5393993027
141	0.539139936
142	0.5388868585
143	0.5385006917
144	0.5381925272
145	0.5379899974
146	0.5376004031
147	0.5373106225
148	0.537014646
149	0.5367626008
150	0.536568216
151	0.5363552442
152	0.5359872306
153	0.5358134956
154	0.5355951381
155	0.5353359461
156	0.5350326855
157	0.534813808
158	0.5345563914
159	0.5341063683
160	0.5338280085
161	0.5336284083
162	0.5334532434
163	0.5330728741
164	0.5327958273
165	0.5325879953
166	0.5323855913
167	0.5320803404
168	0.5318450621
169	0.5315626792
170	0.5313087014
171	0.5309742197
172	0.5306886794
173	0.5304823316
174	0.5303624245
175	0.5302139971
176	0.5299606742
177	0.5297434982
178	0.5295717224
179	0.5293435481
180	0.5289768863
181	0.5287569892
182	0.5286059343
183	0.5284284939
184	0.5281553748
185	0.527796607
186	0.5276415814
187	0.5275002758
188	0.5272790354
189	0.5271099616
190	0.5269988988
191	0.5268795032
192	0.5266398131
193	0.5263858363
194	0.52618566
195	0.526057559
196	0.5258527372
197	0.5256278276
198	0.5253738521
199	0.5251974763
200	0.5248761692
201	0.5246905087
202	0.5243937405
203	0.5242340715
204	0.5240415113
205	0.5239144665
206	0.5237210793
207	0.5236023623
208	0.5234184751
209	0.5230739062
210	0.5227593607
211	0.522624536
212	0.5224459982
213	0.522198608
214	0.5220043771
215	0.5217913747
216	0.5214811152
217	0.5212926041
218	0.5210992709
